property_key,filename,bytes,sha256
co2_uptake_lp,core_uptake.csv,694272,2e5036f0473f817a556d8e3f7549e36c8523de7bd7acdbf8f30c6fba5875a12d
ch4_uptake_hp,core_ch4uptake_highP.csv,710907,4fa53b97d47e6a4060cdd86d9066b2b8553e30e3192806d2a7796f53a4c46e7e
logKH_CO2,core_logKH_CO2.csv,757932,99b3bbeaf9a54c8c0d8e25ed03bd1e37e2c580cdbd59f179567fa3f8006d6aa7
logKH_CH4,core_logKH_CH4.csv,755716,38e3e19d3f00f812e3ca5c3ca1f0b21b7938e79d48c45a885d805aa0c6bdf51a
pore_diameter,core_di.csv,675834,758493a6f757e14aa84d478b15f673562d508d62a01f3a41d5f92c72b4467564
density,core_density.csv,675637,f4997ae87880f3e3c913f0b7acfebc368b9b81c5dafcd7caf6d11cc0fb2cac0f
