application,feature_group,model,split_type,test_subset,seed,accuracy,precision,recall,f1,roc_auc,pr_auc,enrichment_top10,enrichment_top25,train_time_sec,inference_time_sec_total,inference_time_sec_per_sample,peak_rss_delta_mb,model_size_kb,best_params,validation_auc,validation_f1_at_selected_threshold,selected_probability_threshold,label_cutoff_value,n_train,n_valid,n_test,train_positive_rate,valid_positive_rate,test_positive_rate,baseline_k,baseline_metal_weight
co2_capture,precursor_only,logistic_regression,scaffold,test,42,0.735593220338983,0.5057471264367817,0.694006309148265,0.5851063829787234,0.7788161025839727,0.5694524645440165,2.6498422712933754,2.056782334384858,2.7736747739999146,0.005184759000030681,4.393863559348035e-06,51.5,14.0791015625,"{""C"": 0.1}",0.7192299639330533,0.5714285714285714,0.3,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,precursor_only,random_forest,scaffold,test,42,0.6923728813559322,0.4567669172932331,0.7665615141955836,0.5724381625441696,0.7820730267462559,0.5688264469512507,2.429022082018928,2.056782334384858,5.314672907000045,0.07746208399998977,6.564583389829642e-05,37.765625,21435.34765625,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 250}",0.7788147212578855,0.6062992125984252,0.31,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,precursor_only,xgboost,scaffold,test,42,0.6779661016949152,0.44540727902946275,0.8107255520504731,0.5749440715883669,0.7953712199026943,0.5910793938852497,2.744479495268139,2.145110410094637,3.9923960010000883,0.06059736600002452,5.135370000002078e-05,11.140625,225.5390625,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 150}",0.7694417052776614,0.6102857142857143,0.26,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,descriptor_only,logistic_regression,scaffold,test,42,0.5745762711864407,0.36916548797736914,0.8233438485804416,0.509765625,0.7017648069422563,0.43811606095190586,2.2082018927444795,1.640378548895899,0.6329167760000018,0.0015602869999611357,1.322277118611132e-06,0.00390625,1.9921875,"{""C"": 1.0}",0.6813039484526333,0.516320474777448,0.19,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,descriptor_only,random_forest,scaffold,test,42,0.7152542372881356,0.47785547785547783,0.6466876971608833,0.5495978552278821,0.760100668565016,0.5978915902848235,2.744479495268139,1.8927444794952681,6.205081247999942,0.050202469000055316,4.2544465254284166e-05,0.00390625,23550.8017578125,"{""max_depth"": 16, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.7345938753731645,0.5548216644649934,0.34,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,descriptor_only,xgboost,scaffold,test,42,0.5288135593220339,0.3582443653618031,0.9526813880126183,0.5206896551724138,0.7835223762752631,0.5798729593205763,2.6813880126182967,2.0063091482649846,1.0276763579998942,0.00398968500007868,3.3810889831175255e-06,0.00390625,227.8154296875,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.731596739115752,0.5463576158940397,0.125,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,precursor_descriptor,logistic_regression,scaffold,test,42,0.7313559322033898,0.5,0.7160883280757098,0.5888456549935149,0.7890255180556419,0.5714316853714829,2.7129337539432177,2.145110410094637,6.661467687000027,0.005272840999964501,4.468509322003814e-06,19.328125,14.9013671875,"{""C"": 0.1}",0.7268131407961743,0.5660818713450292,0.275,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,precursor_descriptor,random_forest,scaffold,test,42,0.5915254237288136,0.3855755894590846,0.8769716088328076,0.535645472061657,0.7897529343388006,0.6158990449816457,2.744479495268139,2.1198738170347005,6.428370721999954,0.06063604899998154,5.138648220337419e-05,0.00390625,18708.3310546875,"{""max_depth"": 16, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.7760776182306934,0.5844027640671273,0.215,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
co2_capture,precursor_descriptor,xgboost,scaffold,test,42,0.6966101694915254,0.4625228519195612,0.7981072555205048,0.5856481481481481,0.8157553249430678,0.6365785092086693,2.996845425867508,2.296529968454259,3.058221806000006,0.035227254000005814,2.985360508475069e-05,0.00390625,232.5703125,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 150}",0.7679591781599102,0.5903890160183066,0.245,2.546270269,5510,1180,1180,0.2500907441016334,0.30677966101694915,0.26864406779661015,,
ch4_storage,precursor_only,logistic_regression,scaffold,test,42,0.7245762711864406,0.5,0.6061538461538462,0.5479833101529903,0.7569482681061628,0.509324990972231,2.1846153846153844,1.9815384615384615,3.8772543729999143,0.007448228999919593,6.312058474508129e-06,0.00390625,14.0791015625,"{""C"": 0.1}",0.7833316326530612,0.5269709543568465,0.32,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,precursor_only,random_forest,scaffold,test,42,0.7559322033898305,0.557632398753894,0.5507692307692308,0.5541795665634675,0.793331533963113,0.6156422655290811,2.769230769230769,2.0923076923076924,5.425901927000041,0.05568768899991028,4.719295677958498e-05,0.00390625,17531.5546875,"{""max_depth"": 16, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.854938775510204,0.6337662337662338,0.345,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,precursor_only,xgboost,scaffold,test,42,0.7889830508474577,0.668141592920354,0.4646153846153846,0.5480943738656987,0.8009266756635177,0.6449915135904436,2.953846153846154,2.1538461538461537,2.5758080040000095,0.03689888700000665,3.127024322034462e-05,0.00390625,586.064453125,"{""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 250}",0.8401632653061224,0.592375366568915,0.445,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,descriptor_only,logistic_regression,scaffold,test,42,0.7567796610169492,0.5688405797101449,0.48307692307692307,0.5224625623960066,0.7508448043184885,0.5724704574993723,2.430769230769231,1.9815384615384615,0.4106819999999516,0.0015982470000608373,1.3544466102210485e-06,0.00390625,1.9921875,"{""C"": 10.0}",0.7468954081632653,0.533678756476684,0.38,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,descriptor_only,random_forest,scaffold,test,42,0.7711864406779662,0.6950354609929078,0.30153846153846153,0.4206008583690987,0.7953684210526316,0.621368459677959,2.4923076923076923,2.116923076923077,7.182129798000005,0.02576469600001019,2.1834488135601856e-05,0.00390625,5888.404296875,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 150}",0.7760280612244898,0.5179063360881543,0.44,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,descriptor_only,xgboost,scaffold,test,42,0.7796610169491526,0.6382978723404256,0.46153846153846156,0.5357142857142857,0.8006261808367071,0.6238975398608652,2.707692307692308,2.116923076923077,1.055489744000056,0.004950046999965707,4.194955084716701e-06,0.00390625,231.2841796875,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.7846811224489796,0.5275229357798165,0.385,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,precursor_descriptor,logistic_regression,scaffold,test,42,0.7593220338983051,0.5694915254237288,0.5169230769230769,0.5419354838709678,0.770475933423302,0.5547344164773635,2.4000000000000004,2.0676923076923077,5.604315337000003,0.005082188999949722,4.306939830465866e-06,28.171875,14.9013671875,"{""C"": 0.1}",0.7816326530612244,0.5128205128205128,0.425,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,precursor_descriptor,random_forest,scaffold,test,42,0.7838983050847458,0.6470588235294118,0.47384615384615386,0.5470692717584369,0.8053117408906882,0.6659389089754666,2.9846153846153847,2.1538461538461537,7.690232006999963,0.05787273800001458,4.904469322035134e-05,14.046875,19651.8212890625,"{""max_depth"": 16, ""min_samples_leaf"": 1, ""n_estimators"": 250}",0.8281301020408163,0.6041666666666666,0.37,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
ch4_storage,precursor_descriptor,xgboost,scaffold,test,42,0.773728813559322,0.5895061728395061,0.5876923076923077,0.588597842835131,0.8243076923076923,0.682103993531278,3.0461538461538464,2.1661538461538465,3.2183553330000905,0.037386919000027774,3.1683829661040486e-05,0.00390625,239.875,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 150}",0.8349846938775509,0.6095238095238096,0.32,8.241883439925001,5510,1180,1180,0.2500907441016334,0.1694915254237288,0.2754237288135593,,
co2_capture,precursor_only,logistic_regression,scaffold,test,7,0.7076271186440678,0.4520547945205479,0.6534653465346535,0.5344129554655871,0.7415262050720465,0.48481743788729237,2.3762376237623766,1.8217821782178218,2.6432915540000295,0.004696437999996306,3.980032203386699e-06,34.4453125,14.0791015625,"{""C"": 0.1}",0.7602226061051174,0.5940366972477065,0.325,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,precursor_only,random_forest,scaffold,test,7,0.7372881355932204,0.49081364829396323,0.6171617161716172,0.5467836257309941,0.7636839510632932,0.4942778177046853,1.881188118811881,1.8613861386138615,7.037708080000016,0.06956220899996879,5.895102457624474e-05,13.33203125,21558.62890625,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 250}",0.8062023522596795,0.6314199395770392,0.365,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,precursor_only,xgboost,scaffold,test,7,0.7203389830508474,0.4700665188470067,0.6996699669966997,0.5623342175066313,0.7755399257143502,0.54910755657284,2.508250825082508,2.0462046204620465,2.4357713450000347,0.03463566199991419,2.9352255932130672e-05,0.00390625,228.2490234375,"{""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 150}",0.7859985035463194,0.612565445026178,0.335,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,descriptor_only,logistic_regression,scaffold,test,7,0.6025423728813559,0.3639344262295082,0.7326732673267327,0.48630887185104055,0.6830290782784094,0.41861940884670307,2.112211221122112,1.7293729372937294,0.3974977880000097,0.001409684999998717,1.1946483050836587e-06,0.00390625,1.9921875,"{""C"": 10.0}",0.7330330081822225,0.5494736842105263,0.21,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,descriptor_only,random_forest,scaffold,test,7,0.6872881355932203,0.4318181818181818,0.6897689768976898,0.531130876747141,0.7750074323281816,0.5831156397079801,2.8052805280528053,2.099009900990099,6.099862510000094,0.02408757400007744,2.0413198305150373e-05,0.00390625,5626.529296875,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 150}",0.7527851623514321,0.567741935483871,0.28,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,descriptor_only,xgboost,scaffold,test,7,0.7084745762711865,0.4557235421166307,0.6963696369636964,0.5509138381201044,0.7773274476820544,0.571395230139367,2.706270627062706,2.178217821782178,1.5437016590000212,0.008200540999951045,6.949611016907665e-06,0.00390625,230.1318359375,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.7643775063013114,0.5770750988142292,0.285,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,precursor_descriptor,logistic_regression,scaffold,test,7,0.7110169491525423,0.4585152838427948,0.693069306930693,0.5519053876478318,0.7479612841557817,0.4930291421808094,2.541254125412541,1.8877887788778878,5.711577768999973,0.004797973999984606,4.066079661003904e-06,32.0078125,14.9013671875,"{""C"": 0.1}",0.7651257331416218,0.600896860986547,0.305,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,precursor_descriptor,random_forest,scaffold,test,7,0.7457627118644068,0.5042492917847026,0.5874587458745875,0.5426829268292683,0.7952384177984503,0.5775051673019427,2.8052805280528053,2.165016501650165,6.324179253000011,0.06461872900001708,5.4761634745777186e-05,14.046875,22765.169921875,"{""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 250}",0.7976236039707743,0.6196769456681351,0.355,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
co2_capture,precursor_descriptor,xgboost,scaffold,test,7,0.6372881355932203,0.3983739837398374,0.8085808580858086,0.5337690631808278,0.7883912678611076,0.5485801921463492,2.442244224422442,2.165016501650165,4.68509601400001,0.07199930599995241,6.1016361016908825e-05,0.00390625,238.04296875,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.7965598805595494,0.6088939566704675,0.235,2.567051158,5510,1180,1180,0.2500907441016334,0.2957627118644068,0.25677966101694916,,
ch4_storage,precursor_only,logistic_regression,scaffold,test,7,0.7652542372881356,0.5636856368563685,0.6419753086419753,0.6002886002886003,0.7878519095419407,0.551293656695367,2.3456790123456788,2.0370370370370368,3.17378562600004,0.007064223000043057,5.986629661053438e-06,22.51953125,14.0791015625,"{""C"": 0.1}",0.7697182565706503,0.5253623188405797,0.38,8.151024926725,5510,1180,1180,0.2500907441016334,0.21864406779661016,0.2745762711864407,,
ch4_storage,precursor_only,random_forest,scaffold,test,7,0.7050847457627119,0.47718631178707227,0.7746913580246914,0.5905882352941176,0.7903884706357447,0.5949414451894464,2.3765432098765435,2.197530864197531,4.985134190000053,0.024529221000079815,2.0787475423796454e-05,0.00390625,3989.6552734375,"{""max_depth"": 10, ""min_samples_leaf"": 1, ""n_estimators"": 150}",0.7956666498511829,0.5950155763239875,0.26,8.151024926725,5510,1180,1180,0.2500907441016334,0.21864406779661016,0.2745762711864407,,
