application,feature_group,model,split_type,test_subset,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_rss_delta_mb_mean,peak_rss_delta_mb_std,model_size_kb_mean,model_size_kb_std,validation_auc_mean,validation_f1_at_selected_threshold_mean,selected_probability_threshold_mean,label_cutoff_value_mean,n_train_mean,n_valid_mean,n_test_mean,train_positive_rate_mean,valid_positive_rate_mean,test_positive_rate_mean
ch4_storage,descriptor_only,xgboost,metal_element_holdout,test,1,0.7948829141370338,0.0,0.7993311036789298,0.0,0.3665644171779141,0.0,0.5026288117770767,0.0,0.8523814734312061,0.0,0.7134500098822433,0.0,2.9856186758027246,0.0,2.4028239997448195,0.0,1.0055475659999047,0.0,2.818382046789433e-06,0.0,0.00390625,0.0,234.1298828125,0.0,0.8327807583338357,0.6061776061776062,0.425,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,descriptor_only,xgboost,metal_element_holdout,test_fully_unseen,1,0.7675647120972002,0.0,0.8231046931407943,0.0,0.3683360258481422,0.0,0.5089285714285714,0.0,0.8355363768472469,0.0,0.7311689042028039,0.0,2.6879602074653515,0.0,2.212971104885381,0.0,0.9718731749999279,0.0,2.8894041204331815e-06,0.0,0.00390625,0.0,234.1298828125,0.0,0.8327807583338357,0.6061776061776062,0.425,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,descriptor_only,xgboost,metal_element_holdout,test_partial_unseen,1,0.9200968523002422,0.0,0.5,0.0,0.3333333333333333,0.0,0.4,0.0,0.8627591706539075,0.0,0.4737750429563446,0.0,5.959595959595959,0.0,3.0084498834498836,0.0,0.9707960519999688,0.0,6.576472154953283e-06,0.0,0.00390625,0.0,234.1298828125,0.0,0.8327807583338357,0.6061776061776062,0.425,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,descriptor_only,xgboost,random_group_aware,test,1,0.7966101694915254,0.0,0.541033434650456,0.0,0.6666666666666666,0.0,0.5973154362416108,0.0,0.8452112843611422,0.0,0.6587034190908562,0.0,3.445692883895131,0.0,2.48689138576779,0.0,1.0656618369999933,0.0,6.116906779598756e-06,0.0,0.00390625,0.0,683.509765625,0.0,0.850113951929522,0.6589403973509934,0.325,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,descriptor_only,xgboost,scaffold,test,3,0.7810734463276835,0.009822225226391907,0.618004427933506,0.0415452693444775,0.43945613658875304,0.05528473325868719,0.5109161973965032,0.03138262544856071,0.7997368442843883,0.00667493828820801,0.6040601063718034,0.017247393602915405,2.782293294121251,0.23601593759095402,2.1370760448896653,0.063190795557065,1.079636320333331,0.026555538813274902,3.880956214672839e-06,3.0189606412933154e-07,0.00390625,0.0,233.22265625,2.45514862760493,0.7919660473131757,0.5377708031546757,0.4116666666666666,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
ch4_storage,precursor_descriptor,logistic_regression,metal_element_holdout,test,1,0.8048568950563747,0.0,0.6328947368421053,0.0,0.7377300613496932,0.0,0.6813031161473088,0.0,0.837999625373699,0.0,0.697965544385816,0.0,2.9856186758027246,0.0,2.3660460813813784,0.0,4.884909190999906,0.0,3.954038594984344e-06,0.0,0.00390625,0.0,14.9013671875,0.0,0.7816846504711958,0.5468053491827637,0.25,8.0755567352,4360.0,1204.0,2306.0,0.25,0.22009966777408638,0.28274067649609713
ch4_storage,precursor_descriptor,logistic_regression,metal_element_holdout,test_fully_unseen,1,0.786053882725832,0.0,0.6502808988764045,0.0,0.7479806138933764,0.0,0.695717505634861,0.0,0.82778852811163,0.0,0.7157753283835533,0.0,2.575291216733271,0.0,2.122645753665569,0.0,4.17150674200002,0.0,3.1846846276697265e-06,0.0,0.00390625,0.0,14.9013671875,0.0,0.7816846504711958,0.5468053491827637,0.25,8.0755567352,4360.0,1204.0,1893.0,0.25,0.22009966777408638,0.3269941891178024
ch4_storage,precursor_descriptor,logistic_regression,metal_element_holdout,test_partial_unseen,1,0.8910411622276029,0.0,0.375,0.0,0.5454545454545454,0.0,0.4444444444444444,0.0,0.7278708133971293,0.0,0.41307732384446233,0.0,4.46969696969697,0.0,2.7677738927738926,0.0,4.368031315000053,0.0,9.107932203360905e-06,0.0,0.00390625,0.0,14.9013671875,0.0,0.7816846504711958,0.5468053491827637,0.25,8.0755567352,4360.0,1204.0,413.0,0.25,0.22009966777408638,0.07990314769975787
ch4_storage,precursor_descriptor,logistic_regression,random_group_aware,test,1,0.8033898305084746,0.0,0.552870090634441,0.0,0.6853932584269663,0.0,0.6120401337792643,0.0,0.8283511984608506,0.0,0.611445647183235,0.0,3.108614232209738,0.0,2.531835205992509,0.0,5.661979018000011,0.0,4.253288983109395e-06,0.0,2.86328125,0.0,14.9013671875,0.0,0.8170449104663411,0.622154779969651,0.345,8.1806480536,5510.0,1180.0,1180.0,0.2500907441016334,0.25,0.22627118644067798
ch4_storage,precursor_descriptor,logistic_regression,scaffold,test,3,0.7692090395480227,0.01712479612003129,0.5601212537653216,0.008231743058937663,0.5588402822453001,0.06417176460665007,0.5580500153140248,0.028344449219591766,0.7885403428159288,0.015933326093429942,0.5584098349804577,0.025890360391069008,2.5532855436081245,0.18575174442054956,2.2165107373709527,0.13271244567542181,6.780873677000007,1.033127165115564,4.90440508475192e-06,1.1757773591540498e-06,11.298177083333334,14.61305118214153,14.9013671875,0.0,0.784178093575515,0.5491567256273139,0.39999999999999997,8.23058714815,5510.0,1180.0,1180.0,0.2500907441016334,0.18983050847457628,0.2621468926553672
